locus_tag	ftype	length_bp	gene	EC_number	COG	product
VP181_00041	CDS	3141	pdeB	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeB
VP181_00042	CDS	780	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
VP181_00043	CDS	573				hypothetical protein
VP181_00044	CDS	879				hypothetical protein
VP181_00045	CDS	426	uspA_1		COG0589	Universal stress protein A
VP181_00046	CDS	528	ftnA	1.16.3.2	COG1528	putative bacterial non-heme ferritin
VP181_00047	CDS	324	uspB			Universal stress protein B
VP181_00048	CDS	1194			COG2081	putative protein
VP181_00049	CDS	1344	zraR_1		COG2204	Transcriptional regulatory protein ZraR
VP181_00050	CDS	552	osmY		COG2823	Osmotically-inducible protein Y
VP181_00051	CDS	177				hypothetical protein
VP181_00052	CDS	198				hypothetical protein
VP181_00053	CDS	432				hypothetical protein
VP181_00054	CDS	1638		2.7.1.-	COG1597	Putative lipid kinase
VP181_00055	CDS	399				hypothetical protein
VP181_00056	CDS	432				hypothetical protein
VP181_00057	CDS	249				hypothetical protein
VP181_00058	CDS	513				hypothetical protein
VP181_00059	CDS	351				hypothetical protein
VP181_00060	CDS	1029	tqsA		COG0628	AI-2 transport protein TqsA
VP181_00061	CDS	2436			COG2200	putative signaling protein
VP181_00062	CDS	909				hypothetical protein
VP181_00063	CDS	1545				hypothetical protein
VP181_00064	CDS	780	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
VP181_00065	CDS	636				hypothetical protein
VP181_00066	CDS	1635	ubiB_1	2.7.-.-	COG0661	putative protein kinase UbiB
VP181_00067	CDS	246	tatA		COG1826	Sec-independent protein translocase protein TatA
VP181_00068	CDS	399	tatB		COG1826	Sec-independent protein translocase protein TatB
VP181_00069	CDS	741	tatC		COG0805	Sec-independent protein translocase protein TatC
VP181_00070	CDS	135				hypothetical protein
VP181_00071	CDS	762	dtd3	3.1.1.96		D-aminoacyl-tRNA deacylase
VP181_00072	CDS	1062	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
VP181_00073	CDS	435				hypothetical protein
VP181_00074	CDS	99				hypothetical protein
VP181_00075	CDS	2796	polA	2.7.7.7	COG0258	DNA polymerase I
VP181_00076	CDS	660	engB		COG0218	putative GTP-binding protein EngB
VP181_00077	CDS	618	cc4		COG2863	Cytochrome c4
VP181_00078	CDS	639				hypothetical protein
VP181_00079	CDS	543	yihI		COG3078	Der GTPase-activating protein YihI
VP181_00080	CDS	489				hypothetical protein
VP181_00081	CDS	1392	hemN_1	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
VP181_00082	CDS	1005		3.5.4.40	COG1816	Aminodeoxyfutalosine deaminase
VP181_00083	CDS	2547			COG2200	putative signaling protein
VP181_00084	CDS	1404	glnG		COG2204	DNA-binding transcriptional regulator NtrC
VP181_00085	CDS	1047	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
VP181_00086	CDS	582				hypothetical protein
VP181_00087	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
VP181_00088	CDS	1830	typA		COG1217	GTP-binding protein TypA/BipA
VP181_00089	CDS	543				hypothetical protein
VP181_00090	CDS	642				hypothetical protein
VP181_00091	CDS	945				hypothetical protein
VP181_00092	CDS	435	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
VP181_00093	CDS	918		2.3.1.-		Acetyltransferase
VP181_00094	CDS	2055				hypothetical protein
VP181_00095	CDS	1629	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
VP181_00096	CDS	876	hslO		COG1281	33 kDa chaperonin
VP181_00097	CDS	387	hslR		COG1188	Heat shock protein 15
VP181_00098	CDS	924	epsC		COG3031	Type II secretion system protein C
VP181_00099	CDS	2028	epsD_1			Type II secretion system protein D
VP181_00100	CDS	1503	epsE_1		COG2804	Type II secretion system protein E
VP181_00101	CDS	1218	epsF_1		COG1459	Type II secretion system protein F
VP181_00102	CDS	444	epsG		COG2165	Type II secretion system protein G
VP181_00103	CDS	606	epsH			Type II secretion system protein H
VP181_00104	CDS	390	xcpV		COG2165	Type II secretion system protein I
VP181_00105	CDS	684	xcpW		COG4795	Type II secretion system protein J
VP181_00106	CDS	1011	gspK_1		COG3156	Putative type II secretion system protein K
VP181_00107	CDS	1203	epsL		COG3297	Type II secretion system protein L
VP181_00108	CDS	492	epsM		COG3149	Type II secretion system protein M
VP181_00109	CDS	762	outN			Type II secretion system protein N
VP181_00110	CDS	828	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
VP181_00111	CDS	570	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
VP181_00112	CDS	585	nfuA		COG0316	Fe/S biogenesis protein NfuA
VP181_00113	CDS	726				hypothetical protein
VP181_00114	CDS	786	bioH	3.1.1.85	COG0596	Pimeloyl-[acyl-carrier protein] methyl ester esterase
VP181_00115	CDS	465				hypothetical protein
VP181_00116	CDS	2322	yhgF		COG2183	Protein YhgF
VP181_00117	CDS	1881				hypothetical protein
VP181_00118	CDS	492	greB		COG0782	Transcription elongation factor GreB
VP181_00119	CDS	393	yqjC			Protein YqjC
VP181_00120	CDS	720	ompR_1			Transcriptional regulatory protein OmpR
VP181_00121	CDS	1293	envZ_1	2.7.13.3		Osmolarity sensor protein EnvZ
VP181_00122	CDS	1392	xanP		COG2233	Xanthine permease XanP
VP181_00123	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
VP181_00124	CDS	684	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
VP181_00125	CDS	2121	spoT	3.1.7.2	COG0317	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase
VP181_00126	CDS	273	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
VP181_00127	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
VP181_00128	CDS	1215				hypothetical protein
VP181_00129	CDS	633				hypothetical protein
VP181_00130	CDS	408				hypothetical protein
VP181_00131	CDS	528				hypothetical protein
VP181_00132	CDS	1362	tolQ_1		COG0811	Protein TolQ
VP181_00133	CDS	765				hypothetical protein
VP181_00134	CDS	2601	btuB_1		COG4206	Vitamin B12 transporter BtuB
VP181_00135	CDS	1026	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
VP181_00136	CDS	1044	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
VP181_00137	CDS	1827			COG0747	putative ABC transporter-binding protein
VP181_00138	CDS	858	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
VP181_00139	CDS	840	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
VP181_00140	CDS	426				hypothetical protein
VP181_00141	CDS	867				hypothetical protein
VP181_00142	CDS	717	rph	2.7.7.56		Ribonuclease PH
VP181_00143	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
VP181_00144	CDS	951	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
VP181_00145	CDS	591	slmA		COG1309	Nucleoid occlusion factor SlmA
VP181_00146	CDS	1200	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
VP181_00147	CDS	1674	mcpP_1		COG0840	Methyl-accepting chemotaxis protein McpP
VP181_00148	CDS	675				hypothetical protein
VP181_00149	CDS	237	rpmB		COG0227	50S ribosomal protein L28
VP181_00150	CDS	171	rpmG		COG0267	50S ribosomal protein L33
VP181_00151	CDS	477				hypothetical protein
VP181_00152	CDS	810	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
VP181_00153	CDS	483	coaD	2.7.7.3		Phosphopantetheine adenylyltransferase
VP181_00154	CDS	936				hypothetical protein
VP181_00155	CDS	789	hyaD	2.4.1.212		Hyaluronan synthase
VP181_00156	CDS	768	sunS	2.4.1.-	COG0463	SPBc2 prophage-derived glycosyltransferase SunS
VP181_00157	CDS	1056	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
VP181_00158	CDS	408	dgkA_1	2.7.1.107	COG0818	Diacylglycerol kinase
VP181_00159	CDS	711	kdkA	2.7.1.166	COG0515	3-deoxy-D-manno-octulosonic acid kinase
VP181_00160	CDS	1065	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
VP181_00161	CDS	867	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
VP181_00162	CDS	429	fdtA	5.3.2.3		TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase
VP181_00163	CDS	753	lpxA_1	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
VP181_00164	CDS	411	phaJ	4.2.1.119	COG2030	(R)-specific enoyl-CoA hydratase
VP181_00165	CDS	1098	fdtB	2.6.1.90		dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase
VP181_00166	CDS	945				hypothetical protein
VP181_00167	CDS	606	lacA_1	2.3.1.18	COG0110	Galactoside O-acetyltransferase
VP181_00168	CDS	1104	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
VP181_00169	CDS	729				hypothetical protein
VP181_00170	CDS	1272	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
VP181_00171	CDS	1059	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
VP181_00172	CDS	990	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
VP181_00173	CDS	942	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
VP181_00174	CDS	2163				hypothetical protein
VP181_00175	CDS	756				hypothetical protein
VP181_00176	CDS	675	gfcB			putative lipoprotein GfcB
VP181_00177	CDS	219				hypothetical protein
VP181_00178	CDS	516				hypothetical protein
VP181_00179	CDS	2673	kpsD_1		COG1596	Polysialic acid transport protein KpsD
VP181_00180	CDS	981				hypothetical protein
VP181_00181	CDS	1239				hypothetical protein
VP181_00182	CDS	474	cysE_1	2.3.1.30	COG1045	Serine acetyltransferase
VP181_00183	CDS	1227				hypothetical protein
VP181_00184	CDS	954	gumH	2.4.1.252	COG0438	GDP-mannose:cellobiosyl-diphosphopolyprenol alpha-mannosyltransferase
VP181_00185	CDS	615				hypothetical protein
VP181_00186	CDS	1428				hypothetical protein
VP181_00187	CDS	924				hypothetical protein
VP181_00188	CDS	909	gnu	5.1.3.26	COG0451	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase
VP181_00189	CDS	549	tuaA_1	2.7.8.40	COG2148	Putative undecaprenyl-phosphate N-acetylgalactosaminyl 1-phosphate transferase
VP181_00190	CDS	1950	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
VP181_00191	CDS	1167	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
VP181_00192	CDS	1005	wbgU_1	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
VP181_00193	CDS	879	gtaB_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
VP181_00194	CDS	393		3.1.-.-	COG1236	Ribonuclease
VP181_00195	CDS	459				hypothetical protein
VP181_00196	CDS	2823				hypothetical protein
VP181_00197	CDS	744				hypothetical protein
VP181_00198	CDS	621				hypothetical protein
VP181_00199	CDS	1041				hypothetical protein
VP181_00200	CDS	660				hypothetical protein
VP181_00201	CDS	285				hypothetical protein
VP181_00202	CDS	771	tpiA	5.3.1.1		Triosephosphate isomerase
VP181_00203	CDS	348	hpcD	5.3.3.10		5-carboxymethyl-2-hydroxymuconate Delta-isomerase
VP181_00204	CDS	423				hypothetical protein
VP181_00205	CDS	357				hypothetical protein
VP181_00206	CDS	615				hypothetical protein
VP181_00207	CDS	1008	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
VP181_00208	CDS	243	zapB		COG3074	Cell division protein ZapB
VP181_00209	CDS	513	rraA		COG0684	Regulator of ribonuclease activity A
VP181_00210	CDS	918	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
VP181_00211	CDS	807				hypothetical protein
VP181_00212	CDS	657				hypothetical protein
VP181_00213	CDS	1164				hypothetical protein
VP181_00214	CDS	792				hypothetical protein
VP181_00215	CDS	432				hypothetical protein
VP181_00216	CDS	474				hypothetical protein
VP181_00217	CDS	225				hypothetical protein
VP181_00218	CDS	1332	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
VP181_00219	CDS	552	hslV	3.4.25.2		ATP-dependent protease subunit HslV
VP181_00220	CDS	546	ftsN		COG3087	Cell division protein FtsN
VP181_00221	CDS	1008	cytR		COG1609	HTH-type transcriptional repressor CytR
VP181_00222	CDS	2205	priA	3.6.4.-	COG1198	Primosomal protein N'
VP181_00223	CDS	222	rpmE			50S ribosomal protein L31
VP181_00224	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
VP181_00225	CDS	630	rplC		COG0087	50S ribosomal protein L3
VP181_00226	CDS	603	rplD		COG0088	50S ribosomal protein L4
VP181_00227	CDS	303	rplW		COG0089	50S ribosomal protein L23
VP181_00228	CDS	825	rplB		COG0090	50S ribosomal protein L2
VP181_00229	CDS	279	rpsS		COG0185	30S ribosomal protein S19
VP181_00230	CDS	333	rplV		COG0091	50S ribosomal protein L22
VP181_00231	CDS	699	rpsC		COG0092	30S ribosomal protein S3
VP181_00232	CDS	411	rplP		COG0197	50S ribosomal protein L16
VP181_00233	CDS	192	rpmC		COG0255	50S ribosomal protein L29
VP181_00234	CDS	255	rpsQ		COG0186	30S ribosomal protein S17
VP181_00235	CDS	372	rplN		COG0093	50S ribosomal protein L14
VP181_00236	CDS	318	rplX		COG0198	50S ribosomal protein L24
VP181_00237	CDS	540	rplE		COG0094	50S ribosomal protein L5
VP181_00238	CDS	306	rpsN		COG0199	30S ribosomal protein S14
VP181_00239	CDS	393	rpsH		COG0096	30S ribosomal protein S8
VP181_00240	CDS	534	rplF		COG0097	50S ribosomal protein L6
VP181_00241	CDS	354	rplR		COG0256	50S ribosomal protein L18
VP181_00242	CDS	504	rpsE		COG0098	30S ribosomal protein S5
VP181_00243	CDS	177	rpmD		COG1841	50S ribosomal protein L30
VP181_00244	CDS	435	rplO		COG0200	50S ribosomal protein L15
VP181_00245	CDS	1335	secY		COG0201	Protein translocase subunit SecY
VP181_00246	CDS	114	rpmJ		COG0257	50S ribosomal protein L36
VP181_00247	CDS	357	rpsM		COG0099	30S ribosomal protein S13
VP181_00248	CDS	390	rpsK		COG0100	30S ribosomal protein S11
VP181_00249	CDS	621	rpsD		COG0522	30S ribosomal protein S4
VP181_00250	CDS	993	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
VP181_00251	CDS	381	rplQ		COG0203	50S ribosomal protein L17
VP181_00252	CDS	480				hypothetical protein
VP181_00253	CDS	621	fklB_1	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
VP181_00254	CDS	600	oapA		COG3061	Opacity-associated protein OapA
VP181_00255	CDS	462				hypothetical protein
VP181_00256	CDS	1380	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
VP181_00257	CDS	573				hypothetical protein
VP181_00258	CDS	1962	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
VP181_00259	CDS	876	cysG_1		COG0007	Siroheme synthase
VP181_00260	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
VP181_00261	CDS	1431	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
VP181_00262	CDS	1725	sdcS_1		COG0471	Sodium-dependent dicarboxylate transporter SdcS
VP181_00263	CDS	618	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
VP181_00264	CDS	906				hypothetical protein
VP181_00265	CDS	105				hypothetical protein
VP181_00266	CDS	495				hypothetical protein
VP181_00267	CDS	1260				hypothetical protein
VP181_00268	CDS	729			COG1136	putative ABC transporter ATP-binding protein
VP181_00269	CDS	624				hypothetical protein
VP181_00270	CDS	300				hypothetical protein
VP181_00271	CDS	552	ytfJ_1		COG3054	putative protein YtfJ
VP181_00272	CDS	201				hypothetical protein
VP181_00273	CDS	639	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
VP181_00274	CDS	1713	tamA		COG0729	Translocation and assembly module subunit TamA
VP181_00275	CDS	3768	tamB		COG2911	Translocation and assembly module subunit TamB
VP181_00276	CDS	348	ytfP		COG2105	Gamma-glutamylcyclotransferase family protein YtfP
VP181_00277	CDS	363				hypothetical protein
VP181_00278	CDS	531	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
VP181_00279	CDS	1017	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
VP181_00280	CDS	1359	mpl	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
VP181_00281	CDS	639	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
VP181_00282	CDS	993	thiB		COG4143	Thiamine-binding periplasmic protein
VP181_00283	CDS	1551	cysW_1		COG4208	Sulfate transport system permease protein CysW
VP181_00284	CDS	705	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
VP181_00285	CDS	438	uspF		COG0589	Universal stress protein F
VP181_00286	CDS	2580	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
VP181_00287	CDS	150				hypothetical protein
VP181_00288	CDS	969				hypothetical protein
VP181_00289	CDS	477	argR			Arginine repressor
VP181_00290	CDS	936	mdh_1	1.1.1.37	COG0039	Malate dehydrogenase
VP181_00291	CDS	192				hypothetical protein
VP181_00292	CDS	972	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
VP181_00293	CDS	312	rplU		COG0261	50S ribosomal protein L21
VP181_00294	CDS	258	rpmA		COG0211	50S ribosomal protein L27
VP181_00295	CDS	1173	cgtA	3.6.5.-	COG0536	GTPase Obg/CgtA
VP181_00296	CDS	801	yjjP		COG2966	Inner membrane protein YjjP
VP181_00297	CDS	474				hypothetical protein
VP181_00298	CDS	483	dhfrIII	1.5.1.3		Dihydrofolate reductase type 3
VP181_00299	CDS	807	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
VP181_00300	CDS	381	apaG		COG2967	Protein ApaG
VP181_00301	CDS	810	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
VP181_00302	CDS	999	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
VP181_00303	CDS	1284	surA	5.2.1.8	COG0760	Chaperone SurA
VP181_00304	CDS	2346	lptD		COG1452	LPS-assembly protein LptD
VP181_00305	CDS	855	djlA		COG1076	Co-chaperone protein DjlA
VP181_00306	CDS	783				hypothetical protein
VP181_00307	CDS	603	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
VP181_00308	CDS	1416	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
VP181_00309	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
VP181_00310	CDS	1548	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
VP181_00311	CDS	798				hypothetical protein
VP181_00312	CDS	549				hypothetical protein
VP181_00313	CDS	1047				hypothetical protein
VP181_00314	CDS	960	leuO_2			HTH-type transcriptional regulator LeuO
VP181_00315	CDS	1809		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
VP181_00316	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
VP181_00317	CDS	495	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
VP181_00318	CDS	1881	dgcM	2.7.7.65	COG2199	Diguanylate cyclase DgcM
VP181_00319	CDS	663				hypothetical protein
VP181_00320	CDS	1413	pykF	2.7.1.40	COG0469	Pyruvate kinase I
VP181_00321	CDS	762	srlR_1		COG1349	Glucitol operon repressor
VP181_00322	CDS	1833	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
VP181_00323	CDS	378				hypothetical protein
VP181_00324	CDS	693	czcR			Transcriptional activator protein CzcR
VP181_00325	CDS	1386	cusS	2.7.13.3	COG0642	Sensor kinase CusS
VP181_00326	CDS	1083	dhaD	1.1.1.6		Glycerol dehydrogenase
VP181_00327	CDS	1059	dhaK	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
VP181_00328	CDS	636	dhaL	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
VP181_00329	CDS	2400	ptsI_1	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
VP181_00330	CDS	1926	dhaR		COG3284	PTS-dependent dihydroxyacetone kinase operon regulatory protein
VP181_00331	CDS	531	mtlR		COG3722	Mannitol operon repressor
VP181_00332	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
VP181_00333	CDS	1953	mtlA_1		COG2213	PTS system mannitol-specific EIICBA component
VP181_00334	CDS	1749				hypothetical protein
VP181_00335	CDS	372				hypothetical protein
VP181_00336	CDS	720				hypothetical protein
VP181_00337	CDS	1050				hypothetical protein
VP181_00338	CDS	753	pdeI	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeI
VP181_00339	CDS	726	ureR		COG2207	Urease operon transcriptional activator
VP181_00340	CDS	276				hypothetical protein
VP181_00341	CDS	804	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
VP181_00342	CDS	1368	intA_1		COG0582	Prophage integrase IntA
VP181_00343	CDS	618				hypothetical protein
VP181_00344	tRNA	87				tRNA-Thr(ggt)
VP181_00345	CDS	288				hypothetical protein
VP181_00346	CDS	996				hypothetical protein
VP181_00347	CDS	1773				hypothetical protein
VP181_00348	CDS	1491		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
VP181_00349	CDS	399				hypothetical protein
VP181_00350	CDS	111				hypothetical protein
VP181_00351	CDS	150				hypothetical protein
VP181_00352	CDS	366				hypothetical protein
VP181_00353	CDS	207				hypothetical protein
VP181_00354	CDS	285				hypothetical protein
VP181_00355	CDS	663	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
VP181_00356	CDS	2445	radD_1	3.6.4.12	COG1061	Putative DNA repair helicase RadD
VP181_00357	CDS	1158				hypothetical protein
VP181_00358	CDS	165				hypothetical protein
VP181_00359	CDS	816				hypothetical protein
VP181_00360	CDS	1590				hypothetical protein
VP181_00361	CDS	1407	hipA	2.7.11.1	COG3550	Serine/threonine-protein kinase toxin HipA
VP181_00362	CDS	336				hypothetical protein
VP181_00363	tRNA	76				tRNA-Met(cat)
VP181_00364	CDS	1863	rpoD		COG0568	RNA polymerase sigma factor RpoD
VP181_00365	CDS	1761	dnaG	2.7.7.-	COG0358	DNA primase
VP181_00366	CDS	444	yqeY		COG1610	putative protein YqeY
VP181_00367	CDS	216	rpsU		COG0828	30S ribosomal protein S21
VP181_00368	CDS	1062	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
VP181_00369	CDS	816	catD_1	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
VP181_00370	CDS	612	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
VP181_00371	CDS	360	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
VP181_00372	CDS	483	folK_1	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
VP181_00373	CDS	804	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
VP181_00374	CDS	1221	cca		COG0617	Multifunctional CCA protein
VP181_00375	CDS	1620	gspA			Putative general secretion pathway protein A
VP181_00376	CDS	684				hypothetical protein
VP181_00377	CDS	612				hypothetical protein
VP181_00378	CDS	1260	pitA		COG0306	Low-affinity inorganic phosphate transporter 1
VP181_00379	CDS	681				hypothetical protein
VP181_00380	CDS	1536	ygiF	3.6.1.25	COG3025	Inorganic triphosphatase
VP181_00381	CDS	819	kcsA		COG1226	pH-gated potassium channel KcsA
VP181_00382	CDS	1257	pctB_1		COG0840	Methyl-accepting chemotaxis protein PctB
VP181_00383	CDS	2844	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
VP181_00384	CDS	1431	hldE		COG2870	Bifunctional protein HldE
