locus_tag	ftype	length_bp	gene	EC_number	COG	product
VP226_00097	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
VP226_00098	CDS	1197	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
VP226_00099	CDS	1314	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
VP226_00100	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
VP226_00101	CDS	1365	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
VP226_00102	CDS	1482	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
VP226_00103	CDS	1794	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
VP226_00104	CDS	318	ftsL		COG3116	Cell division protein FtsL
VP226_00105	CDS	951	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
VP226_00106	CDS	864	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
VP226_00107	CDS	1812	lpoA		COG3107	Penicillin-binding protein activator LpoA
VP226_00108	CDS	366				hypothetical protein
VP226_00109	CDS	591	diaA		COG0279	DnaA initiator-associating protein DiaA
VP226_00110	CDS	696				hypothetical protein
VP226_00111	CDS	483	sspB		COG2969	Stringent starvation protein B
VP226_00112	CDS	636	sspA_1		COG0625	Stringent starvation protein A
VP226_00113	CDS	738	petC		COG2857	Ammonia monooxygenase gamma subunit
VP226_00114	CDS	1266	petB		COG1290	Cytochrome b
VP226_00115	CDS	591	petA	1.10.2.2	COG0723	Ubiquinol-cytochrome c reductase iron-sulfur subunit
VP226_00116	CDS	393	rpsI		COG0103	30S ribosomal protein S9
VP226_00117	CDS	429	rplM		COG0102	50S ribosomal protein L13
VP226_00118	CDS	1104	zapE		COG1485	Cell division protein ZapE
VP226_00119	CDS	444	yhcB		COG3105	Inner membrane protein YhcB
VP226_00120	CDS	1368	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
VP226_00121	CDS	1065	degS	3.4.21.107	COG0265	Serine endoprotease DegS
VP226_00122	CDS	2286	parC	5.99.1.3	COG0188	DNA topoisomerase 4 subunit A
VP226_00123	CDS	1881	parE	5.99.1.3	COG0187	DNA topoisomerase 4 subunit B
VP226_00124	CDS	585				hypothetical protein
VP226_00125	CDS	807	cpdA	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
VP226_00126	CDS	444				hypothetical protein
VP226_00127	CDS	651	nudF_1	3.6.1.13		ADP-ribose pyrophosphatase
VP226_00128	CDS	1329	tolC_1		COG1538	Outer membrane protein TolC
VP226_00129	CDS	1431	hldE		COG2870	Bifunctional protein HldE
VP226_00130	CDS	2844	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
VP226_00131	CDS	1257	pctB_1		COG0840	Methyl-accepting chemotaxis protein PctB
VP226_00132	CDS	819	kcsA		COG1226	pH-gated potassium channel KcsA
VP226_00133	CDS	1536	ygiF	3.6.1.25	COG3025	Inorganic triphosphatase
VP226_00134	CDS	681				hypothetical protein
VP226_00135	CDS	1260	pitA		COG0306	Low-affinity inorganic phosphate transporter 1
VP226_00136	CDS	612				hypothetical protein
VP226_00137	CDS	684				hypothetical protein
VP226_00138	CDS	1620	gspA			Putative general secretion pathway protein A
VP226_00139	CDS	1221	cca		COG0617	Multifunctional CCA protein
VP226_00140	CDS	804	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
VP226_00141	CDS	483	folK_1	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
VP226_00142	CDS	360	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
VP226_00143	CDS	612	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
VP226_00144	CDS	816	catD_1	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
VP226_00145	CDS	1062	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
VP226_00146	CDS	216	rpsU		COG0828	30S ribosomal protein S21
VP226_00147	CDS	444	yqeY		COG1610	putative protein YqeY
VP226_00148	CDS	1761	dnaG	2.7.7.-	COG0358	DNA primase
VP226_00149	CDS	1863	rpoD		COG0568	RNA polymerase sigma factor RpoD
VP226_00150	tRNA	76				tRNA-Met(cat)
VP226_00151	CDS	336				hypothetical protein
VP226_00152	CDS	1407	hipA	2.7.11.1	COG3550	Serine/threonine-protein kinase toxin HipA
VP226_00153	CDS	1590				hypothetical protein
VP226_00154	CDS	816				hypothetical protein
VP226_00155	CDS	165				hypothetical protein
VP226_00156	CDS	1158				hypothetical protein
VP226_00157	CDS	2445	radD_1	3.6.4.12	COG1061	Putative DNA repair helicase RadD
VP226_00158	CDS	663	yhdJ	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
VP226_00159	CDS	285				hypothetical protein
VP226_00160	CDS	207				hypothetical protein
VP226_00161	CDS	366				hypothetical protein
VP226_00162	CDS	150				hypothetical protein
VP226_00163	CDS	111				hypothetical protein
VP226_00164	CDS	399				hypothetical protein
VP226_00165	CDS	1491		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
VP226_00166	CDS	1773				hypothetical protein
VP226_00167	CDS	675				hypothetical protein
VP226_00168	CDS	288				hypothetical protein
VP226_00169	tRNA	87				tRNA-Thr(ggt)
VP226_00170	CDS	618				hypothetical protein
VP226_00171	CDS	1368	intA_1		COG0582	Prophage integrase IntA
VP226_00172	CDS	804	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
VP226_00173	CDS	276				hypothetical protein
VP226_00174	CDS	726	ureR		COG2207	Urease operon transcriptional activator
VP226_00175	CDS	753	pdeI	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeI
VP226_00176	CDS	1050				hypothetical protein
VP226_00177	CDS	720				hypothetical protein
VP226_00178	CDS	372				hypothetical protein
VP226_00179	CDS	1749				hypothetical protein
VP226_00180	CDS	1953	mtlA_1		COG2213	PTS system mannitol-specific EIICBA component
VP226_00181	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
VP226_00182	CDS	531	mtlR		COG3722	Mannitol operon repressor
VP226_00183	CDS	1926	dhaR		COG3284	PTS-dependent dihydroxyacetone kinase operon regulatory protein
VP226_00184	CDS	2400	ptsI_1	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
VP226_00185	CDS	636	dhaL	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
VP226_00186	CDS	1059	dhaK	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
VP226_00187	CDS	1083	dhaD	1.1.1.6		Glycerol dehydrogenase
VP226_00188	CDS	1386	cusS	2.7.13.3	COG0642	Sensor kinase CusS
VP226_00189	CDS	693	czcR			Transcriptional activator protein CzcR
VP226_00190	CDS	378				hypothetical protein
VP226_00191	CDS	1833	glmS	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
VP226_00192	CDS	762	srlR_1		COG1349	Glucitol operon repressor
VP226_00193	CDS	1413	pykF	2.7.1.40	COG0469	Pyruvate kinase I
VP226_00194	CDS	663				hypothetical protein
VP226_00195	CDS	1881	dgcM	2.7.7.65	COG2199	Diguanylate cyclase DgcM
VP226_00196	CDS	495	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
VP226_00197	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
VP226_00198	CDS	1809		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
VP226_00199	CDS	960	leuO_1			HTH-type transcriptional regulator LeuO
VP226_00200	CDS	1047				hypothetical protein
VP226_00201	CDS	549				hypothetical protein
VP226_00202	CDS	798				hypothetical protein
VP226_00203	CDS	1548	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
VP226_00204	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
VP226_00205	CDS	1416	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
VP226_00206	CDS	603	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
VP226_00207	CDS	783				hypothetical protein
VP226_00208	CDS	855	djlA		COG1076	Co-chaperone protein DjlA
VP226_00209	CDS	2346	lptD		COG1452	LPS-assembly protein LptD
VP226_00210	CDS	1284	surA	5.2.1.8	COG0760	Chaperone SurA
VP226_00211	CDS	999	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
VP226_00212	CDS	810	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
VP226_00213	CDS	381	apaG		COG2967	Protein ApaG
VP226_00214	CDS	807	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
VP226_00215	CDS	483	dhfrIII	1.5.1.3		Dihydrofolate reductase type 3
VP226_00216	CDS	474				hypothetical protein
VP226_00217	CDS	801	yjjP		COG2966	Inner membrane protein YjjP
VP226_00218	CDS	1173	cgtA	3.6.5.-	COG0536	GTPase Obg/CgtA
VP226_00219	CDS	258	rpmA		COG0211	50S ribosomal protein L27
VP226_00220	CDS	312	rplU		COG0261	50S ribosomal protein L21
VP226_00221	CDS	972	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
VP226_00222	CDS	192				hypothetical protein
VP226_00223	CDS	936	mdh_1	1.1.1.37	COG0039	Malate dehydrogenase
VP226_00224	CDS	477	argR			Arginine repressor
VP226_00225	CDS	969				hypothetical protein
VP226_00226	CDS	2580	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
VP226_00227	CDS	438	uspF		COG0589	Universal stress protein F
VP226_00228	CDS	705	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
VP226_00229	CDS	1551	cysW_1		COG4208	Sulfate transport system permease protein CysW
VP226_00230	CDS	993	thiB		COG4143	Thiamine-binding periplasmic protein
VP226_00231	CDS	639	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
VP226_00232	CDS	1359	mpl	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
VP226_00233	CDS	1017	fbp	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
VP226_00234	CDS	531	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
VP226_00235	CDS	363				hypothetical protein
VP226_00236	CDS	348	ytfP		COG2105	Gamma-glutamylcyclotransferase family protein YtfP
VP226_00237	CDS	3762	tamB		COG2911	Translocation and assembly module subunit TamB
VP226_00238	CDS	1713	tamA		COG0729	Translocation and assembly module subunit TamA
VP226_00239	CDS	639	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
VP226_00240	CDS	201				hypothetical protein
VP226_00241	CDS	552	ytfJ_1		COG3054	putative protein YtfJ
VP226_00242	CDS	300				hypothetical protein
VP226_00243	CDS	624				hypothetical protein
VP226_00244	CDS	729			COG1136	putative ABC transporter ATP-binding protein
VP226_00245	CDS	1260				hypothetical protein
VP226_00246	CDS	495				hypothetical protein
VP226_00247	CDS	105				hypothetical protein
VP226_00248	CDS	906				hypothetical protein
VP226_00249	CDS	618	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
VP226_00250	CDS	1725	sdcS_1		COG0471	Sodium-dependent dicarboxylate transporter SdcS
VP226_00251	CDS	1431	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
VP226_00252	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
VP226_00253	CDS	876	cysG_1		COG0007	Siroheme synthase
VP226_00254	CDS	1962	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
VP226_00255	CDS	573				hypothetical protein
VP226_00256	CDS	1380	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
VP226_00257	CDS	462				hypothetical protein
VP226_00258	CDS	600	oapA		COG3061	Opacity-associated protein OapA
VP226_00259	CDS	621	fklB_1	5.2.1.8	COG0545	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
VP226_00260	CDS	480				hypothetical protein
VP226_00261	CDS	381	rplQ		COG0203	50S ribosomal protein L17
VP226_00262	CDS	993	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
VP226_00263	CDS	621	rpsD		COG0522	30S ribosomal protein S4
VP226_00264	CDS	390	rpsK		COG0100	30S ribosomal protein S11
VP226_00265	CDS	357	rpsM		COG0099	30S ribosomal protein S13
VP226_00266	CDS	114	rpmJ		COG0257	50S ribosomal protein L36
VP226_00267	CDS	1335	secY		COG0201	Protein translocase subunit SecY
VP226_00268	CDS	435	rplO		COG0200	50S ribosomal protein L15
VP226_00269	CDS	177	rpmD		COG1841	50S ribosomal protein L30
VP226_00270	CDS	504	rpsE		COG0098	30S ribosomal protein S5
VP226_00271	CDS	354	rplR		COG0256	50S ribosomal protein L18
VP226_00272	CDS	534	rplF		COG0097	50S ribosomal protein L6
VP226_00273	CDS	393	rpsH		COG0096	30S ribosomal protein S8
VP226_00274	CDS	306	rpsN		COG0199	30S ribosomal protein S14
VP226_00275	CDS	540	rplE		COG0094	50S ribosomal protein L5
VP226_00276	CDS	318	rplX		COG0198	50S ribosomal protein L24
VP226_00277	CDS	372	rplN		COG0093	50S ribosomal protein L14
VP226_00278	CDS	255	rpsQ		COG0186	30S ribosomal protein S17
VP226_00279	CDS	192	rpmC		COG0255	50S ribosomal protein L29
VP226_00280	CDS	411	rplP		COG0197	50S ribosomal protein L16
VP226_00281	CDS	699	rpsC		COG0092	30S ribosomal protein S3
VP226_00282	CDS	333	rplV		COG0091	50S ribosomal protein L22
VP226_00283	CDS	279	rpsS		COG0185	30S ribosomal protein S19
VP226_00284	CDS	825	rplB		COG0090	50S ribosomal protein L2
VP226_00285	CDS	303	rplW		COG0089	50S ribosomal protein L23
VP226_00286	CDS	603	rplD		COG0088	50S ribosomal protein L4
VP226_00287	CDS	630	rplC		COG0087	50S ribosomal protein L3
VP226_00288	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
VP226_00289	CDS	222	rpmE			50S ribosomal protein L31
VP226_00290	CDS	2205	priA	3.6.4.-	COG1198	Primosomal protein N'
VP226_00291	CDS	1008	cytR		COG1609	HTH-type transcriptional repressor CytR
VP226_00292	CDS	546	ftsN		COG3087	Cell division protein FtsN
VP226_00293	CDS	552	hslV	3.4.25.2		ATP-dependent protease subunit HslV
VP226_00294	CDS	1332	hslU		COG1220	ATP-dependent protease ATPase subunit HslU
VP226_00295	CDS	225				hypothetical protein
VP226_00296	CDS	474				hypothetical protein
VP226_00297	CDS	432				hypothetical protein
VP226_00298	CDS	792				hypothetical protein
VP226_00299	CDS	1164				hypothetical protein
VP226_00300	CDS	657				hypothetical protein
VP226_00301	CDS	807				hypothetical protein
VP226_00302	CDS	918	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
VP226_00303	CDS	513	rraA		COG0684	Regulator of ribonuclease activity A
VP226_00304	CDS	243	zapB		COG3074	Cell division protein ZapB
VP226_00305	CDS	1008	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
VP226_00306	CDS	615				hypothetical protein
VP226_00307	CDS	357				hypothetical protein
VP226_00308	CDS	423				hypothetical protein
VP226_00309	CDS	348	hpcD	5.3.3.10		5-carboxymethyl-2-hydroxymuconate Delta-isomerase
VP226_00310	CDS	771	tpiA	5.3.1.1		Triosephosphate isomerase
VP226_00311	CDS	285				hypothetical protein
VP226_00312	CDS	660				hypothetical protein
VP226_00313	CDS	1041				hypothetical protein
VP226_00314	CDS	621				hypothetical protein
VP226_00315	CDS	744				hypothetical protein
VP226_00316	CDS	2823				hypothetical protein
VP226_00317	CDS	459				hypothetical protein
VP226_00318	CDS	393		3.1.-.-	COG1236	Ribonuclease
VP226_00319	CDS	879	gtaB_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
VP226_00320	CDS	1167	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
VP226_00321	CDS	1008	wecA	2.7.8.40		UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase
VP226_00322	CDS	762	wfgD	2.4.1.305		UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD
VP226_00323	CDS	981	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
VP226_00324	CDS	816				hypothetical protein
VP226_00325	CDS	801				hypothetical protein
VP226_00326	CDS	1071				hypothetical protein
VP226_00327	CDS	918				hypothetical protein
VP226_00328	CDS	1419				hypothetical protein
VP226_00329	CDS	981				hypothetical protein
VP226_00330	CDS	2703	kpsD_1		COG1596	Polysialic acid transport protein KpsD
VP226_00331	CDS	516				hypothetical protein
VP226_00332	CDS	225				hypothetical protein
VP226_00333	CDS	675	gfcB			putative lipoprotein GfcB
VP226_00334	CDS	762				hypothetical protein
VP226_00335	CDS	2163				hypothetical protein
VP226_00336	CDS	942	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
VP226_00337	CDS	990	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
VP226_00338	CDS	1059	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
VP226_00339	CDS	1272	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
VP226_00340	CDS	729				hypothetical protein
VP226_00341	CDS	1104	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
VP226_00342	CDS	606	lacA_1	2.3.1.18	COG0110	Galactoside O-acetyltransferase
VP226_00343	CDS	945				hypothetical protein
VP226_00344	CDS	1098	fdtB	2.6.1.90		dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase
VP226_00345	CDS	411	phaJ	4.2.1.119	COG2030	(R)-specific enoyl-CoA hydratase
VP226_00346	CDS	753	lpxA_1	2.3.1.129		Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
VP226_00347	CDS	429	fdtA	5.3.2.3		TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase
VP226_00348	CDS	867	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
VP226_00349	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
VP226_00350	CDS	711	kdkA	2.7.1.166	COG0515	3-deoxy-D-manno-octulosonic acid kinase
VP226_00351	CDS	408	dgkA_1	2.7.1.107	COG0818	Diacylglycerol kinase
VP226_00352	CDS	1056	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
VP226_00353	CDS	783	sunS	2.4.1.-	COG0463	SPBc2 prophage-derived glycosyltransferase SunS
VP226_00354	CDS	1032	bshA_1	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
VP226_00355	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
VP226_00356	CDS	924				hypothetical protein
VP226_00357	CDS	810	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
VP226_00358	CDS	477				hypothetical protein
VP226_00359	CDS	171	rpmG		COG0267	50S ribosomal protein L33
VP226_00360	CDS	237	rpmB		COG0227	50S ribosomal protein L28
VP226_00361	CDS	675				hypothetical protein
VP226_00362	CDS	1674	mcpP_1		COG0840	Methyl-accepting chemotaxis protein McpP
VP226_00363	CDS	1200	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
